,Movie ID,Title,IMDB Rating,Directors,Writers,Stars,Storyline,Release Date,Origin Countries,Languages,Budget,Gross Worldwide,Runtime,Genres
301,tt22022452,Inside Out 2,8.0,​Kelsey Mann,"noneWriters, ​Meg LeFauve, ​Dave Holstein, ​Kelsey Mann, noneWriters","noneStars, ​Amy Poehler, ​Maya Hawke, ​Kensington Tallman, noneStars","Follows Riley, in her teenage years, encountering new emotions.",Release date,"United States, Japan",English,"$200,000,000 (estimated)","$512,383,116",1 hour 36 minutes,"Animation, Adventure, Comedy"
302,tt13964390,Under Paris,5.2,​Xavier Gens,"noneWriters, ​Yannick Dahan, ​Maud Heywang, ​Xavier Gens, noneWriters","noneStars, ​Bérénice Bejo, ​Nassim Lyes, ​Léa Léviant, noneStars","To save Paris from a bloodbath, a grieving scientist is forced to face her tragic past when a giant shark appears in the Seine.",Release date,France,French,"€25,000,000 (estimated)",N/A,1 hour 44 minutes,"Action, Drama, Horror"
303,tt1684562,The Fall Guy,7.0,​David Leitch,"​Glen A. Larson, ​Drew Pearce","noneStars, ​Ryan Gosling, ​Emily Blunt, ​Aaron Taylor-Johnson, noneStars",A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,Release date,"United States, Australia, Canada",English,"$125,000,000 (estimated)","$170,853,974",2 hours 6 minutes,"Action, Comedy, Drama"
304,tt23289160,Godzilla Minus One,7.8,​Takashi Yamazaki,"​Takashi Yamazaki, ​Ishirô Honda, ​Takeo Murata","noneStars, ​Minami Hamabe, ​Ryunosuke Kamiki, ​Munetaka Aoki, noneStars","Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",Release date,Japan,Japanese,"$15,000,000 (estimated)","$115,857,413",2 hours 4 minutes,"Action, Adventure, Drama"
305,tt2096673,Inside Out,8.1,"​Pete Docter, ​Ronnie Del Carmen","noneWriters, ​Pete Docter, ​Ronnie Del Carmen, ​Meg LeFauve, noneWriters","noneStars, ​Amy Poehler, ​Bill Hader, ​Lewis Black, noneStars","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Release date,United States,"English, Portuguese, Latvian","$175,000,000 (estimated)","$858,852,998",1 hour 35 minutes,"Animation, Adventure, Comedy"
306,tt15239678,Dune: Part Two,8.6,​Denis Villeneuve,"​Denis Villeneuve, ​Jon Spaihts, ​Frank Herbert","noneStars, ​Timothée Chalamet, ​Zendaya, ​Rebecca Ferguson, noneStars",Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,Release date,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia",English,"$190,000,000 (estimated)","$711,844,358",2 hours 46 minutes,"Action, Adventure, Drama"
307,tt11389872,Kingdom of the Planet of the Apes,7.2,​Wes Ball,"​Josh Friedman, ​Rick Jaffa, ​Amanda Silver","noneStars, ​Owen Teague, ​Freya Allan, ​Kevin Durand, noneStars","Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",Release date,"United States, Australia",English,"$160,000,000 (estimated)","$378,889,907",2 hours 25 minutes,"Action, Adventure, Drama"
308,tt16426418,Challengers,7.3,​Luca Guadagnino,​Justin Kuritzkes,"noneStars, ​Mike Faist, ​Josh O'Connor, ​Zendaya, noneStars","Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend.",Release date,"United States, Italy","English, Romanian","$55,000,000 (estimated)","$94,125,557",2 hours 11 minutes,"Drama, Romance, Sport"
309,tt21454134,The Bikeriders,7.3,​Jeff Nichols,​Jeff Nichols,"noneStars, ​Jodie Comer, ​Austin Butler, ​Tom Hardy, noneStars","After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.",Release date,United States,English,N/A,"$4,060,000",1 hour 56 minutes,"Crime, Drama"
310,tt11152168,IF,6.6,​John Krasinski,​John Krasinski,"noneStars, ​Cailey Fleming, ​Ryan Reynolds, ​John Krasinski, noneStars",A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,Release date,"United States, Canada",English,"$110,000,000 (estimated)","$177,218,104",1 hour 44 minutes,"Animation, Comedy, Drama"
311,tt11225626,Am I OK?,6.1,"​Stephanie Allynne, ​Tig Notaro",​Lauren Pomerantz,"noneStars, ​Dakota Johnson, ​Sonoya Mizuno, ​Jermaine Fowler, noneStars","Lucy and Jane have been best friends their entire lives. Only when Lucy embarks on a personal journey, will she face a test of her friendship, and her sense of self, on a path she may not be entirely ready to take.",Release date,United States,English,N/A,N/A,1 hour 26 minutes,"Comedy, Drama, Romance"
312,tt22408160,Kinds of Kindness,7.0,​Yorgos Lanthimos,"​Yorgos Lanthimos, ​Efthimis Filippou","noneStars, ​Emma Stone, ​Jesse Plemons, ​Willem Dafoe, noneStars","A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide.",Release date,"United States, United Kingdom, Ireland",English,N/A,"$1,145,109",2 hours 44 minutes,"Comedy, Drama"
313,tt5177120,The Ministry of Ungentlemanly Warfare,6.9,​Guy Ritchie,"noneWriters, ​Paul Tamasy, ​Eric Johnson, ​Arash Amel, noneWriters","noneStars, ​Henry Cavill, ​Alan Ritchson, ​Alex Pettyfer, noneStars",The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,Release date,"United States, United Kingdom, Turkey",English,"$60,000,000 (estimated)","$26,606,603",2 hours,"Action, Drama, War"
314,tt14856980,Atlas,5.6,​Brad Peyton,"​Leo Sardarian, ​Aron Eli Coleite","noneStars, ​Jennifer Lopez, ​Simu Liu, ​Sterling K. Brown, noneStars","In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity.",Release date,United States,English,N/A,N/A,1 hour 58 minutes,"Action, Adventure, Drama"
315,tt17505010,Horizon: An American Saga - Chapter 1,7.7,​Kevin Costner,"noneWriters, ​Jon Baird, ​Kevin Costner, ​Mark Kasdan, noneWriters","noneStars, ​Kevin Costner, ​Sienna Miller, ​Sam Worthington, noneStars","Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",Release date,United States,English,"$100,000,000 (estimated)",N/A,3 hours 1 minute,"Drama, Western"
316,tt15574270,I Saw the TV Glow,6.1,​Jane Schoenbrun,​Jane Schoenbrun,"noneStars, ​Justice Smith, ​Brigette Lundy-Paine, ​Ian Foreman, noneStars","Two teenagers bond over their love of a supernatural TV show, but it is mysteriously cancelled.",Release date,United States,English,N/A,"$4,349,589",1 hour 40 minutes,"Drama, Horror"
317,tt9466114,The Idea of You,6.4,​Michael Showalter,"​Robinne Lee, ​Michael Showalter, ​Jennifer Westfeldt","noneStars, ​Anne Hathaway, ​Nicholas Galitzine, ​Ella Rubin, noneStars","Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",Release date,United States,English,N/A,"$36,178",1 hour 55 minutes,"Comedy, Drama, Romance"
318,tt15398776,Oppenheimer,8.3,​Christopher Nolan,"​Christopher Nolan, ​Kai Bird, ​Martin Sherwin","noneStars, ​Cillian Murphy, ​Emily Blunt, ​Matt Damon, noneStars",The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Release date,"United States, United Kingdom","English, German, Italian","$100,000,000 (estimated)","$975,134,850",3 hours,"Biography, Drama, History"
319,tt2543472,Wonder,7.9,​Stephen Chbosky,"noneWriters, ​Stephen Chbosky, ​Steve Conrad, ​Jack Thorne, noneWriters","noneStars, ​Jacob Tremblay, ​Owen Wilson, ​Izabela Vidovic, noneStars","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Release date,"United States, Hong Kong, Canada",English,"$20,000,000 (estimated)","$315,025,930",1 hour 53 minutes,"Drama, Family"
320,tt1160419,Dune,8.0,​Denis Villeneuve,"noneWriters, ​Jon Spaihts, ​Denis Villeneuve, ​Eric Roth, noneWriters","noneStars, ​Timothée Chalamet, ​Rebecca Ferguson, ​Zendaya, noneStars",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Release date,"United States, Canada","English, Mandarin","$165,000,000 (estimated)","$407,573,628",2 hours 35 minutes,"Action, Adventure, Drama"
321,tt14230458,Poor Things,7.9,​Yorgos Lanthimos,"​Tony McNamara, ​Alasdair Gray","noneStars, ​Emma Stone, ​Mark Ruffalo, ​Willem Dafoe, noneStars","An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Release date,"Ireland, United Kingdom, United States, Hungary","English, French, Portuguese","$35,000,000 (estimated)","$117,625,455",2 hours 21 minutes,"Comedy, Drama, Romance"
322,tt30321146,In a Violent Nature,6.2,​Chris Nash,​Chris Nash,"noneStars, ​Ry Barrett, ​Andrea Pavlovic, ​Cameron Love, noneStars","When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 60-year old crime, his body is resurrected and becomes hellbent on retrieving it.",Release date,Canada,English,N/A,"$4,192,513",1 hour 34 minutes,"Drama, Horror, Thriller"
323,tt21064584,The Iron Claw,7.6,​Sean Durkin,​Sean Durkin,"noneStars, ​Zac Efron, ​Jeremy Allen White, ​Harris Dickinson, noneStars","The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",Release date,"United Kingdom, United States",English,"$15,000,000 (estimated)","$45,200,720",2 hours 12 minutes,"Biography, Drama, Sport"
324,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,6.7,​Francis Lawrence,"​Michael Lesslie, ​Michael Arndt, ​Suzanne Collins","noneStars, ​Rachel Zegler, ​Tom Blyth, ​Viola Davis, noneStars",Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,Release date,"United States, Canada",English,"$100,000,000 (estimated)","$337,371,917",2 hours 37 minutes,"Action, Adventure, Drama"
325,tt0120791,Practical Magic,6.3,​Griffin Dunne,"noneWriters, ​Alice Hoffman, ​Robin Swicord, ​Akiva Goldsman, noneWriters","noneStars, ​Sandra Bullock, ​Nicole Kidman, ​Stockard Channing, noneStars","Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love.",Release date,United States,English,"$75,000,000 (estimated)","$46,733,235",1 hour 44 minutes,"Comedy, Drama, Fantasy"
326,tt4550098,Nocturnal Animals,7.5,​Tom Ford,"​Tom Ford, ​Austin Wright","noneStars, ​Amy Adams, ​Jake Gyllenhaal, ​Michael Shannon, noneStars","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Release date,"United States, China",English,"$22,500,000 (estimated)","$30,311,857",1 hour 56 minutes,"Drama, Thriller"
327,tt27470893,Chandu Champion,8.5,​Kabir Khan,"noneWriters, ​Sumit Arora, ​Kabir Khan, ​Sudipto Sarkar, noneWriters","noneStars, ​Kartik Aaryan, ​Vijay Raaz, ​Bhagyashree Patwardhan, noneStars",A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,Release date,India,Hindi,N/A,"$127,116",2 hours 22 minutes,"Action, Biography, Drama"
